rail,mvt,designation,reference,id,work_order,point,path,position_type,speed,cnt,x_j1,y_j2,z_j3,w_j4,p_j5,r_j6,e1,wrist,forearm,arm,conf_j1,conf_j4,conf_j6,UF,UT
2,approach,rail,E53233046200,2,5,6,LINEAR,JOINT,2000,50,59.29,47.44,-21.02,-88.51,106.25,-27.05,1723.00,,,,,,,3,1
2,approach,rail,E53233046200,2,5,7,LINEAR,JOINT,2000,100,58.39,48.78,-19.32,-104.45,99.87,-11.59,1723.00,,,,,,,3,1
2,approach,rail,E53233046200,2,5,8,LINEAR,JOINT,100,0,59.78,56.34,-13.84,-103.86,102.50,-6.50,1723.00,,,,,,,3,1
2,work,fastener,ASNA2392-3-04,530,1,9,LINEAR,CRT,100,0,226.34,2062.70,6.51,90.00,-80.84,180.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,529,2,10,LINEAR,CRT,100,0,214.18,2062.70,24.47,90.00,-80.00,-180.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,528,3,11,LINEAR,CRT,100,0,202.34,2062.70,6.51,90.00,-80.00,-180.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,525,4,12,LINEAR,CRT,100,0,190.34,2062.70,24.51,90.00,-80.00,-180.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,526,5,13,LINEAR,CRT,100,0,178.34,2062.70,6.51,90.00,-80.00,-180.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,524,6,14,LINEAR,CRT,100,0,166.34,2062.70,24.51,90.00,-83.91,-180.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,527,7,15,LINEAR,CRT,100,0,154.34,2062.70,6.51,90.00,-80.00,-180.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,523,8,16,LINEAR,CRT,100,0,142.34,2062.70,24.51,-90.00,-88.23,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,522,9,17,LINEAR,CRT,100,0,128.34,2062.70,8.51,-90.00,-87.92,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,521,10,18,LINEAR,CRT,100,0,114.34,2062.70,24.51,-90.00,-83.26,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,520,11,19,LINEAR,CRT,100,0,100.34,2062.70,8.51,-90.00,-85.02,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,519,12,20,LINEAR,CRT,100,0,86.34,2062.70,24.51,-90.00,-70.81,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,EN6115V3-4,532,13,21,LINEAR,CRT,100,0,72.34,2062.70,8.51,-90.00,-78.02,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,EN6115V3-4,531,14,22,LINEAR,CRT,100,0,44.34,2062.70,8.51,-90.00,-81.18,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,518,15,23,LINEAR,CRT,100,0,30.34,2062.70,24.51,-90.00,-74.81,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,517,16,24,LINEAR,CRT,100,0,16.34,2062.70,8.51,-90.00,-70.97,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,516,17,25,LINEAR,CRT,100,0,2.34,2062.70,24.51,-90.00,-69.21,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,515,18,26,LINEAR,CRT,100,0,-11.66,2062.70,8.51,-90.00,-71.38,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,514,19,27,LINEAR,CRT,100,0,-25.66,2062.70,24.51,-90.00,-65.58,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,513,20,28,LINEAR,CRT,100,0,-39.66,2062.70,8.51,-90.00,-74.39,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,512,21,29,LINEAR,CRT,100,0,-53.66,2062.70,24.51,-90.00,-64.75,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,511,22,30,LINEAR,CRT,100,0,-65.66,2062.70,6.51,-90.00,-68.69,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,509,23,31,LINEAR,CRT,100,0,-77.66,2062.70,24.51,-90.00,-61.33,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,510,24,32,LINEAR,CRT,100,0,-89.66,2062.70,6.51,-90.00,-62.68,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,508,25,33,LINEAR,CRT,100,0,-101.66,2062.70,24.51,-90.00,-54.69,0.00,1723.00,F,U,T,0,0,0,3,1
2,work,fastener,ASNA2392-3-04,507,26,34,LINEAR,CRT,100,0,-113.66,2062.70,6.51,-90.00,-60.08,0.00,1723.00,F,U,T,0,0,0,3,1
2,clearance,rail,E53233046200,2,5,8,LINEAR,JOINT,100,0,59.78,56.34,-13.84,-103.86,102.50,-6.50,1723.00,,,,,,,3,1
2,clearance,rail,E53233046200,2,5,7,LINEAR,JOINT,1000,100,58.39,48.78,-19.32,-104.45,99.87,-11.59,1723.00,,,,,,,3,1
